Team #,CMP,Event,P(DCMP)
2288,2026cancmp,FIRST California Northern State Championship,0.441896
1388,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.859243
3598,2026cancmp,FIRST California Northern State Championship,0.744209
4698,2026cancmp,FIRST California Northern State Championship,0.563853
8898,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.119059
3309,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.539374
4019,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0
8119,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.605207
4419,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.520128
5419,2026cancmp,FIRST California Northern State Championship,0.738455
7419,2026cancmp,FIRST California Northern State Championship,0.999999
4619,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,1.32603e-05
6619,2026cancmp,FIRST California Northern State Championship,0.465531
4919,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.231375
2429,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.97338
2839,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.196313
3749,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.497472
6059,2026cancmp,FIRST California Northern State Championship,0.249912
1159,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0315609
4159,2026cancmp,FIRST California Northern State Championship,0.444321
2659,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.529015
1759,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.00596586
3759,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.164753
3669,2026cancmp,FIRST California Northern State Championship,0.0263948
4669,2026cancmp,FIRST California Northern State Championship,0.275698
5669,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.168189
5869,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.196313
4079,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.658211
5089,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.285243
3189,2026cancmp,FIRST California Northern State Championship,0.411049
2489,2026cancmp,FIRST California Northern State Championship,0.275698
5199,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.90926
5499,2026cancmp,FIRST California Northern State Championship,0.252082
4999,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.356774
10500,2026cancmp,FIRST California Northern State Championship,0.214319
11230,2026cancmp,FIRST California Northern State Championship,0.379878
11501,2026cancmp,FIRST California Northern State Championship,0.379878
10221,2026cancmp,FIRST California Northern State Championship,0.108666
11261,2026cancmp,FIRST California Northern State Championship,0.0459694
10281,2026cancmp,FIRST California Northern State Championship,0.137826
10212,2026cancmp,FIRST California Northern State Championship,0.261188
10252,2026cancmp,FIRST California Northern State Championship,0.335762
10372,2026cancmp,FIRST California Northern State Championship,0.214319
10392,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0586306
11243,2026cancmp,FIRST California Northern State Championship,0.379878
11463,2026cancmp,FIRST California Northern State Championship,0.379878
11024,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.466743
10644,2026cancmp,FIRST California Northern State Championship,0.209431
11274,2026cancmp,FIRST California Northern State Championship,0.379878
10615,2026cancmp,FIRST California Northern State Championship,0.255273
10625,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0023452
10336,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.29684
10936,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.466743
10166,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0895624
10586,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.29684
11096,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.466743
11296,2026cancmp,FIRST California Northern State Championship,0.379878
10147,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0895624
11247,2026cancmp,FIRST California Northern State Championship,0.379878
10658,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.29684
10339,2026cancmp,FIRST California Northern State Championship,0.300399
10059,2026cancmp,FIRST California Northern State Championship,0.283294
11459,2026cascmp,FIRST California Southern State Championship presented by Qualcomm,0.0896801
61,2026necmp,New England FIRST District Championship,0.925273
95,2026necmp,New England FIRST District Championship,0.786319
97,2026necmp,New England FIRST District Championship,0.304334
58,2026necmp,New England FIRST District Championship,0.703113
78,2026necmp,New England FIRST District Championship,0.824831
88,2026necmp,New England FIRST District Championship,0.882482
69,2026necmp,New England FIRST District Championship,0.469982
230,2026necmp,New England FIRST District Championship,0.860855
190,2026necmp,New England FIRST District Championship,1
501,2026necmp,New England FIRST District Championship,0.575416
811,2026necmp,New England FIRST District Championship,0.165538
131,2026necmp,New England FIRST District Championship,0.600895
151,2026necmp,New England FIRST District Championship,0.427476
571,2026necmp,New England FIRST District Championship,0.787272
181,2026necmp,New England FIRST District Championship,0.460195
172,2026necmp,New England FIRST District Championship,0.927366
133,2026necmp,New England FIRST District Championship,0.922759
663,2026necmp,New England FIRST District Championship,0.292901
173,2026necmp,New England FIRST District Championship,0.427476
125,2026necmp,New England FIRST District Championship,0.93372
155,2026necmp,New England FIRST District Championship,0.668187
175,2026necmp,New England FIRST District Championship,0.785868
195,2026necmp,New England FIRST District Championship,0.969647
716,2026necmp,New England FIRST District Championship,0.184382
126,2026necmp,New England FIRST District Championship,0.345796
236,2026necmp,New England FIRST District Championship,0.560702
246,2026necmp,New England FIRST District Championship,0.503691
166,2026necmp,New England FIRST District Championship,0.786319
176,2026necmp,New England FIRST District Championship,0.929813
237,2026necmp,New England FIRST District Championship,0.484687
157,2026necmp,New England FIRST District Championship,0.646878
467,2026necmp,New England FIRST District Championship,0.787272
177,2026necmp,New England FIRST District Championship,0.523168
228,2026necmp,New England FIRST District Championship,0.575416
138,2026necmp,New England FIRST District Championship,0.787515
238,2026necmp,New England FIRST District Championship,0.427476
348,2026necmp,New England FIRST District Championship,0.229109
558,2026necmp,New England FIRST District Championship,0.345796
178,2026necmp,New England FIRST District Championship,0.293687
509,2026necmp,New England FIRST District Championship,0.523168
